Date,DayOfWeek,PdDistrict,new_cat_domestic,new_cat_drug,new_cat_kidnap,new_cat_others,new_cat_public,new_cat_sex,new_cat_suicide,new_cat_theft,sum_crime_district,sunrise_time,sunset_time,daylight_hours,house_listings_sum,Dom_median,Dom_mean,Dom_min,Dom_max,Sale_median,Sale_mean,Sale_min,Sale_max,EvictionNos
01/01/2012,Sunday,BAYVIEW,1,1,0,20,17,1,0,9,49,725,1701,9.6,,,,,,,,,,0.0
01/01/2012,Sunday,CENTRAL,3,2,0,11,22,0,0,22,60,725,1701,9.6,,,,,,,,,,0.0
01/01/2012,Sunday,INGLESIDE,0,0,0,8,11,3,0,15,37,725,1701,9.6,,,,,,,,,,0.0
01/01/2012,Sunday,MISSION,2,0,0,7,16,0,0,18,43,725,1701,9.6,,,,,,,,,,0.0
01/01/2012,Sunday,NORTHERN,0,1,0,7,14,0,1,10,33,725,1701,9.6,,,,,,,,,,0.0
01/01/2012,Sunday,PARK,0,0,0,5,6,0,1,4,16,725,1701,9.6,,,,,,,,,,0.0
01/01/2012,Sunday,RICHMOND,4,0,0,11,10,0,0,7,32,725,1701,9.6,,,,,,,,,,0.0
01/01/2012,Sunday,SOUTHERN,6,4,0,26,26,0,1,30,93,725,1701,9.6,,,,,,,,,,0.0
01/01/2012,Sunday,TARAVAL,1,0,0,12,11,2,0,12,38,725,1701,9.6,,,,,,,,,,0.0
01/01/2012,Sunday,TENDERLOIN,1,3,1,3,5,1,0,5,19,725,1701,9.6,,,,,,,,,,0.0
01/01/2013,Tuesday,BAYVIEW,3,1,1,13,16,2,0,22,58,725,1702,9.616666666666667,,,,,,,,,,0.0
01/01/2013,Tuesday,CENTRAL,1,0,0,6,15,0,0,21,43,725,1702,9.616666666666667,,,,,,,,,,0.0
01/01/2013,Tuesday,INGLESIDE,3,1,0,12,12,2,0,9,39,725,1702,9.616666666666667,,,,,,,,,,0.0
01/01/2013,Tuesday,MISSION,2,2,0,12,13,3,0,13,45,725,1702,9.616666666666667,,,,,,,,,,0.0
01/01/2013,Tuesday,NORTHERN,2,1,0,6,15,0,0,27,51,725,1702,9.616666666666667,,,,,,,,,,0.0
01/01/2013,Tuesday,PARK,0,2,0,10,10,0,0,10,32,725,1702,9.616666666666667,,,,,,,,,,0.0
01/01/2013,Tuesday,RICHMOND,0,0,0,10,14,0,0,12,36,725,1702,9.616666666666667,,,,,,,,,,0.0
